学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
新疆农业大学,512补,8,,
新疆师范大学,补535,3,补522,2
新疆财经大学,535,2,511,2
广西医科大学,558,6,,
南昌大学,552,14,,
长春中医药大学,515补,10,,
内蒙古医学院,524补,10,,
廊坊师范学院,526,30,504补,30
安阳师范学院,509补,6,补517,4
福建医科大学,558,10,,
上海电机学院,548,10,,
玉林师范学院,508补,5,补502,5
贺州学院,527补,7,补499,4
内蒙古财经学院,515,10,523蒙语468,12
盐城工学院,补544,3,补520,2
东莞理工学院,526,8,,
上海中医药大学,522,16,,
安徽中医学院,510补,10,,
天津外国语学院,,,566,20
桂林医学院,509补,10,,
安徽医科大学,567,5,,
厦门理工学院,551,15,548,6
四川师范大学,510补,11,528,9
温州大学,551,8,518补,6
琼州学院,505补,20,515补501,12
河南财经学院,515,6,552,4
西安科技大学,553,31,516,1
安徽工业大学,543,30,,
西安医学院,532,3,,
石江民族医学院,补501,10,,
内蒙古科技大学包头医学院,521补,5,,
邯郸学院,补516,10,538补502,30
楚雄师范学院,补520,6,补496,4
百色学院,补519,2,补505,6
集美大学,566,9,532,5
漳州师范学院,补519,8,515补509,12
重庆科技学院,516,10,,
金陵科技学院,514补,4,补527,2
吉林工商学院,511补,20,513补,10
赤峰学院,508补498,10,,
嘉兴学院,508补,13,517,7
安庆师范学院,补514,5,补514,5
东北林业大学,563,262,528,62
哈尔滨师范大学,520,443,535,136
哈尔滨学院,508补,943,504补,797
黑龙江大学,532,935,524,536
东北农业大学,540,982,540,240
哈尔滨理工大学,551,634,546,191
哈尔滨商业大学,540,1478,535,522
黑龙江中医药大学,517,595,542,65
佳木斯大学,508补,1525,504,349
齐齐哈尔大学,508,1628,505,427
齐齐哈尔医学院,508补,607,504补,87
牡丹江医学院,655,,,
牡丹江师范学院,508补,878,507补,1023
黑龙江工程学院,529,1143,509,144
黑龙江科技学院,529定515,1295,,185
黑龙江八一农垦大学,508,1191,511,259
哈尔滨体育学院,,25,补504,25
哈尔滨师范大学（阿城学院）,508补,405,504,565
哈尔滨师范大学（呼兰学院）,508补,453,504,497
大庆师范学院,508补504,913,补500,506
绥化学院,508补495,511,504补494,404
黑河学院,508补489,295,504补493,320
黑龙江大学（软件学院）,524,371,,
哈尔滨理工大学（软件学院）,537,290,,
哈尔滨医科大学（大庆校区）,508补,228,507补,38
