学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
山东交通学院,527,64,500,6
山东工商学院,530,126,509,24
山东财政学院,557,38,550,32
华北水利水电学院,533,40,,
河南理工大学,531,30,507,10
郑州轻工业学院,519,22,516,2
河南工业大学,541,57,500,11
河南科技大学,517,54,496,6
中原工学院,518,21,505,5
河南农业大学,522,10,,
新乡学院,,,,
河南中医学院,521,15,498,5
新乡医学院,510,10,,
河南大学,554,44,539,26
河南师范大学,,,,
南阳师范学院,,11,490,
洛阳师范学院,517,16,502,14
周口师范学院,519,8,490,6
郑州航空工业管理学院,516,65,497,5
安阳工学院,518,8,508,2
南阳理工学院,519,13,499,7
平顶山工学院,516,8,493,7
武汉科技大学,569,10,,
长江大学,544,57,538,16
武汉工程大学,519,32,513,8
武汉工业学院,518,26,511,4
湖北工业大学,551,14,496,6
武汉体育学院,,,497,6
湖北师范学院,544,5,494,5
湖北民族学院,516,10,494,5
湖北汽车工业学院,543,20,,
孝感学院,516,5,498,5
湖北中医学院,,,,
郧阳医学院,519,10,,
江汉大学,542,7,513,3
三峡大学,554,30,493,8
湖北经济学院,535,4,504,6
吉首大学,517,13,518,7
湖南理工学院,517,30,494,27
湖南科技大学,548,52,520,16
长沙学院,,,,
湖南农业大学,521,30,492,15
中南林业科技大学,518,18,496,12
湖南中医药大学,516,15,,
湘南学院,521,20,496,4
衡阳师范学院,517,8,492,7
邵阳学院,518,31,496,10
怀化学院,507,7,495,10
湖南文理学院,516,6,498,8
湖南科技学院,518,9,512,8
广东工业大学,,,,
湖南商学院,517,12,508,28
南华大学,516,50,,
湖南工程学院,519,30,,
湖南城市学院,517,17,493,8
广州体育学院,,,,
广东商学院,,,,
北京师范大学珠海分校,517,60,515,53
广东金融学院,562,3,504,2
广东中医学院,,,,
广西工学院,516,20,,
桂林电子科技大学,549,16,526,4
桂林工学院,522,15,,
广西师范大学,525,14,494,6
广西师范学院,521,7,496,8
巢湖学院,508,,478,
广西民族大学,517,16,517,12
梧州学院,512,14,496,6
广西财经学院,520,7,509,3
海南师范大学,516,32,501,50
海南医学院,516,16,494,4
海南大学,547,62,492,48
重庆交通大学,561,55,,
重庆师范大学,531,15,519,5
重庆文理学院,517,14,499,4
重庆三峡学院,519,8,504,7
长江师范学院,522,4,492,6
四川外语学院,563,2,540,8
重庆工商大学,555,15,551,11
西南石油大学,563,79,519,6
成都理工大学,564,52,500,10
西南科技大学,536,30,492,20
成都信息工程学院,546,20,,
成都学院,521,10,497,10
西华大学,522,2,508,4
四川农业大学,516,12,,
成都中医药大学,529,6,505,4
西华师范大学,536,4,,
绵阳师范学院,537,1,493,3
宜宾学院,554,2,497,8
成都体育学院,543,2,516,2
毕节学院,,,,
安顺学院,,,,
贵阳医学院,517,10,,
贵州师范大学,518,14,507,6
遵义师范学院,509,10,493,7
黔南民族师范学院,,,497,6
贵州财经学院,527,6,503,9
遵义医学院,517,20,,
昆明理工大学,561,66,520,4
云南农业大学,516,24,520,6
西南林学院,517,20,,
昆明医学院,542,18,526,2
大理学院,516,25,493,15
云南中医学院,523,10,,
云南师范大学,,,,
曲靖师范学院,,,499,7
红河学院,521,12,501,8
云南财经大学,537,20,530,18
云南民族大学,547,4,508,6
玉溪师范学院,507,11,,
西安工业大学,529,16,496,4
西安石油大学,559,32,528,8
西安工程大学,516,20,,
陕西中医学院,523,15,496,5
延安大学,516,10,496,10
陕西理工学院,516,20,493,5
宝鸡文理学院,516,20,492,10
咸阳师范学院,,,505,5
渭南师范学院,507,12,495,18
西安外国语大学,576,8,572,27
西北政法大学,524,16,548,43
西安文理学院,516,8,496,2
榆林学院,512,20,492,5
西安财经学院,542,55,531,40
西安邮电学院,562,36,526,4
兰州理工大学,558,51,499,9
兰州交通大学,556,55,504,10
甘肃农业大学,519,8,502,2
西北师范大学,525,8,532,8
商洛学院,,,,
青海大学,516,32,,
青海师范大学,539,6,495,14
青海民族学院,516,10,496,10
宁夏大学,542,5,,
新疆农业大学,516,9,,
新疆师范大学,517,5,496,1
新疆财经大学,521,6,497,4
广西医科大学,516,10,,
南昌大学,556,12,,
长春中医药大学,494,6,,
内蒙古医学院,520,10,,
廊坊师范学院,518,7,494,8
安阳师范学院,515,7,503,18
福建医科大学,,,,
上海电机学院,,,,
玉林师范学院,,,,
贺州学院,,,,
内蒙古财经学院,518,10,493,12
盐城工学院,,,,
东莞理工学院,,,,
上海中医药大学,,,,
安徽中医学院,,,,
天津外国语学院,549,20,,
桂林医学院,,,,
安徽医科大学,520,10,,
厦门理工学院,523,21,502,9
四川师范大学,,,,
温州大学,,,,
琼州学院,,,,
河南财经学院,522,8,498,12
西安科技大学,534,27,,
安徽工业大学,,,,
西安医学院,,,,
石江民族医学院,,,,
内蒙古科技大学包头医学院,516,25,,
邯郸学院,,,,
楚雄师范学院,,,,
百色学院,,,,
集美大学,,,,
漳州师范学院,,,,
重庆科技学院,,,,
金陵科技学院,,,,
吉林工商学院,,,,
赤峰学院,,,,
嘉兴学院,,,,
安庆师范学院,,,,
东北林业大学,533,136,492,66
哈尔滨师范大学,524,255,527,215
哈尔滨学院,516,720,492,570
黑龙江大学,541,854,526,381
东北农业大学,549,936,521,187
哈尔滨理工大学,551,877,531,67
哈尔滨商业大学,535,1208,525,350
黑龙江中医药大学,539,414,510,74
佳木斯大学,516,1150,492,329
齐齐哈尔大学,516,1376,492,418
齐齐哈尔医学院,516,337,492,64
牡丹江医学院,516,308,,
牡丹江师范学院,501,967,492,693
黑龙江工程学院,516,1010,492,132
黑龙江科技学院,516,1336,501,144
黑龙江八一农垦大学,516,1285,494,216
哈尔滨体育学院,505,30,,
哈尔滨师范大学（阿城学院）,503,293,492,358
哈尔滨师范大学（呼兰学院）,505,387,492,363
大庆师范学院,501,430,492,380
绥化学院,501,440,477,522
黑河学院,501,427,477,628
黑龙江大学（软件学院）,516,320,,
哈尔滨理工大学（软件学院）,516,315,,
哈尔滨医科大学（大庆校区）,517,,,104
