学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
沈阳航空工业学院,490,43,469,6
沈阳理工大学,491,54,468,6
辽宁科技大学,469,51,472,23
辽宁石油化工大学,481,55,452,9
沈阳化工学院,481,60,,
大连交通大学,521,75,477,7
大连工业大学,502,46,489,10
东北财经大学,,,,
辽宁工业大学,,,,
大连水产学院,511,40,502,5
大连医科大学,,,,
辽宁医学院,496,8,,
辽宁中医药大学,469,15,,
辽宁师范大学,,,481,12
沈阳师范大学,470,8,,
渤海大学,453,3,462,3
鞍山师范学院,457,10,454,10
大连外国语学院,567,7,546,9
沈阳体育学院,451,15,467,15
沈阳大学,468,9,467,6
大连大学,504,42,495,11
辽东学院,,,,
沈阳工程学院,474,10,,
延边大学,463,90,466,64
东北电力大学,515,124,,
长春工业大学,484,15,467,9
吉林建筑工程学院,482,59,466,4
吉林化工学院,468,30,,
吉林农业大学,470,41,472,4
北华大学,467,43,473,9
通化师范学院,,,,
吉林师范大学,468,4,468,6
吉林工程技术师范学院,,,,
长春师范学院,468,16,471,16
白城师范学院,,,,
长春税务学院,568,22,509,18
吉林华桥外国语学院,447,90,446,70
长春工程学院,468,92,468,5
吉林农业科技学院,,,,
长春大学,,,,
吉林医药学院,,,,
上海应用技术学院,,,,
上海海事大学,,,,
上海水产大学,498,15,484,5
上海金融学院,513,10,511,6
上海工程技术大学,,,,
上海商学院,,,,
江苏科技大学,,,,
江苏工业学院,468,32,468,4
南京林业大学,508,22,500,4
南通大学,,,,
上海立信会计学院,,,,
苏州科技学院,492,23,479,7
常州工学院,478,2,486,
南京工程学院,497,33,494,7
南京审计学院,592,11,546,10
淮海工学院,471,8,482,7
南京人口管理干部学院,481,6,484,8
淮阴工学院,,,,
江苏技术师范学院,,,,
杭州电子科技大学,,,,
浙江林学院,468,12,475,8
浙江师范大学,476,10,478,16
绍兴文理学院,472,11,469,9
台州学院,457,28,468,12
上海政法学院,,,,
上海第二工业大学,,,,
浙江科技学院,,,,
浙江传媒学院,,,492,4
安徽理工大学,467,26,489,4
安徽农业大学,,,,
安徽师范大学,,,,
阜阳师范学院,471,15,446,15
淮北煤炭师范学院,452,10,446,10
安徽财经大学,478,28,505,22
淮南师范学院,,,,
安徽建筑工业学院,470,30,,
安徽科技学院,,,,
合肥学院,,,,
福建工程学院,,,,
福建农林大学,470,5,,
福建中医学院,,,,
福建师范大学,484,20,470,8
闽江学院,467,7,480,3
泉州师范学院,447,15,452,
莆田学院,447,15,,
仰恩大学,471,10,466,10
华东交通大学,509,71,511,12
东华理工大学,465,14,456,4
南昌航空大学,467,42,482,10
江西理工大学,,,,
江西农业大学,449,14,447,6
江西中医学院,467,30,468,10
赣南医学院,450,8,450,2
江西师范大学,480,10,486,25
上饶师范学院,496,10,475,10
宜春学院,448,13,454,2
赣南师范学院,475,19,469,13
井冈山大学,,,,
江西财经大学,514,16,515,12
江西科技师范学院,,,,
九江学院,457,8,466,7
院南医学院,,,,
山东科技大学,504,40,,
青岛科技大学,516,45,,
济南大学,,,,
青岛理工大学,,,,
山东建筑大学,,,,
山东轻工业学院,,,,
山东理工大学,482,50,466,10
山东农业大学,468,55,474,5
青岛农业大学,,,,
潍坊医学院,,,,
泰山医学院,,,,
滨州医学院,,,,
山东中医药大学,,,,
济宁医学院,,,,
山东师范大学,508,5,513,7
曲阜师范大学,,,,
聊城大学,467,22,469,8
德州学院,457,15,450,5
滨州学院,,,,
鲁东大学,471,18,467,12
临沂师范学院,468,8,467,12
泰山学院,448,25,447,15
菏泽学院,,,,
山东经济学院,491,25,505,15
枣庄学院,,,,
潍坊学院,449,18,448,12
烟台大学,502,32,510,8
山东交通学院,467,51,471,14
山东工商学院,467,104,469,16
山东财政学院,467,30,506,10
华北水利水电学院,497,40,,
河南理工大学,,,,
郑州轻工业学院,467,19,471,1
河南工业大学,,,,
河南科技大学,486,35,476,50
中原工学院,467,31,,6
河南农业大学,447,20,,
新乡学院,,,,
河南中医学院,,,,
新乡医学院,,,,
河南大学,477,31,473,22
河南师范大学,,,,
南阳师范学院,486,5,479,5
洛阳师范学院,,,,
周口师范学院,473,10,476,4
郑州航空工业管理学院,467,45,466,5
安阳工学院,,,,
南阳理工学院,474,10,484,5
平顶山工学院,450,10,,
武汉科技大学,511,30,,
长江大学,,,,
武汉工程大学,480,13,506,2
武汉工业学院,495,20,471,5
湖北工业大学,,,,
武汉体育学院,,,473,3
湖北师范学院,470,8,466,8
湖北民族学院,,,,
湖北汽车工业学院,481,15,,
孝感学院,464,6,454,4
湖北中医学院,,,,
郧阳医学院,,,,
江汉大学,473,13,479,4
三峡大学,,,,
湖北经济学院,467,18,466,12
吉首大学,467,39,469,11
湖南理工学院,468,11,469,9
湖南科技大学,,,,
长沙学院,,,,
湖南农业大学,471,30,471,10
中南林业科技大学,,,,
湖南中医药大学,447,25,,
湘南学院,469,15,467,10
衡阳师范学院,468,6,479,4
邵阳学院,447,29,449,9
怀化学院,,,,
湖南文理学院,469,15,468,5
湖南科技学院,467,14,469,
广东工业大学,,,,
湖南商学院,468,15,467,15
南华大学,469,46,471,
湖南工程学院,,,,
湖南城市学院,447,38,474,12
广州体育学院,,,,
广东商学院,,,,
北京师范大学珠海分校,467,37,467,27
广东金融学院,,,,
广东中医学院,,,,
广西工学院,469,10,466,
桂林电子科技大学,468,14,475,2
桂林工学院,467,8,468,2
广西师范大学,469,12,468,18
广西师范学院,469,12,468,
巢湖学院,,,,
广西民族大学,,,,
梧州学院,,,,
广西财经学院,,,,
海南师范大学,470,15,466,25
海南医学院,,,,
海南大学,467,32,485,35
重庆交通大学,489,55,,
重庆师范大学,468,15,468,10
重庆文理学院,,,,
重庆三峡学院,471,13,473,12
长江师范学院,476,10,,
四川外语学院,,,,
重庆工商大学,475,8,471,13
西南石油大学,485,84,480,10
成都理工大学,505,67,478,16
西南科技大学,480,37,473,19
成都信息工程学院,467,25,466,4
成都学院,,,,
西华大学,470,15,485,4
四川农业大学,467,12,472,3
成都中医药大学,457,22,467,8
西华师范大学,476,12,470,8
绵阳师范学院,482,18,466,14
宜宾学院,454,2,448,8
成都体育学院,,,,
毕节学院,,,,
安顺学院,,,,
贵阳医学院,,,,
贵州师范大学,,,,
遵义师范学院,,,,
黔南民族师范学院,458,10,448,11
贵州财经学院,469,22,472,11
遵义医学院,,,,
昆明理工大学,506,75,469,5
云南农业大学,467,8,,
西南林学院,469,10,,
昆明医学院,,,,
大理学院,457,37,,13
云南中医学院,,,,
云南师范大学,,,,
曲靖师范学院,,,,
红河学院,,,,
云南财经大学,,,,
云南民族大学,469,4,471,6
玉溪师范学院,,,,
西安工业大学,468,38,470,12
西安石油大学,481,35,,
西安工程大学,467,30,,
陕西中医学院,,,,
延安大学,454,10,456,10
陕西理工学院,467,40,,
宝鸡文理学院,447,32,448,18
咸阳师范学院,471,10,,
渭南师范学院,,,,
西安外国语大学,501,4,524,21
西北政法大学,516,6,524,16
西安文理学院,470,11,469,6
榆林学院,,,,
西安财经学院,467,11,,
西安邮电学院,468,28,478,43
兰州理工大学,478,52,467,8
兰州交通大学,470,100,,
甘肃农业大学,,,,
西北师范大学,479,8,484,12
商洛学院,,,,
青海大学,470,6,469,4
青海师范大学,458,4,447,16
青海民族学院,,,475,8
宁夏大学,523,7,466,3
新疆农业大学,448,19,,
新疆师范大学,454,8,454,7
新疆财经大学,470,10,469,10
广西医科大学,,,,
南昌大学,472,3,,
长春中医药大学,,,,
内蒙古医学院,,,,
廊坊师范学院,,,,
安阳师范学院,,,,
福建医科大学,,,,
上海电机学院,,,,
玉林师范学院,,,,
贺州学院,,,,
内蒙古财经学院,,,402蒙语,4
盐城工学院,,,,
东莞理工学院,,,,
上海中医药大学,,,,
安徽中医学院,,,,
天津外国语学院,,,,
桂林医学院,,,,
安徽医科大学,,,,
厦门理工学院,,,,
四川师范大学,,,,
温州大学,,,,
琼州学院,,,,
河南财经学院,,,,
西安科技大学,,,,
安徽工业大学,,,,
西安医学院,,,,
石江民族医学院,,,,
内蒙古科技大学包头医学院,,,,
邯郸学院,,,,
楚雄师范学院,,,,
百色学院,,,,
集美大学,,,,
漳州师范学院,,,,
重庆科技学院,,,,
金陵科技学院,,,,
吉林工商学院,,,,
赤峰学院,,,,
嘉兴学院,,,,
安庆师范学院,,,,
东北林业大学,506,280,494,76
哈尔滨师范大学,515,31,508,35
哈尔滨学院,465,525,466,375
黑龙江大学,496,559,500,239
东北农业大学,484,895,479,175
哈尔滨理工大学,509,553,482,84
哈尔滨商业大学,486,308,486,119
黑龙江中医药大学,477,314,475,44
佳木斯大学,467,1321,466,323
齐齐哈尔大学,467,1152,475,348
齐齐哈尔医学院,455,387,446,50
牡丹江医学院,447,221,,
牡丹江师范学院,457,492,466,382
黑龙江工程学院,467,1116,466,125
黑龙江科技学院,467,1280,466,110
黑龙江八一农垦大学,462,1164,466,256
哈尔滨体育学院,,,,
哈尔滨师范大学（阿城学院）,466,51,466,50
哈尔滨师范大学（呼兰学院）,468,65,469,52
大庆师范学院,449,330,466,230
绥化学院,447,300,446,275
黑河学院,437,220,446,160
黑龙江大学（软件学院）,467,200,,
哈尔滨理工大学（软件学院）,467,76,,
哈尔滨医科大学（大庆校区）,,,,
