学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
杭州电子科技大学,,,,
浙江林学院,531,12,502,8
浙江师范大学,554,10,522,6
绍兴文理学院,510,11,504,9
台州学院,507,29,499,10
上海政法学院,,,,
上海第二工业大学,,,,
浙江科技学院,536,12,,
浙江传媒学院,529,13,551,3
安徽理工大学,527,56,521,4
安徽农业大学,537,35,513,10
安徽师范大学,,,501,10
阜阳师范学院,517,8,490,12
淮北煤炭师范学院,509,21,494,19
安徽财经大学,557,35,543,25
淮南师范学院,508,15,486,5
安徽建筑工业学院,527,50,,
安徽科技学院,532,15,,
合肥学院,536,20,493,10
福建工程学院,529,20,,
福建农林大学,513,5,,
福建中医学院,522,4,524,1
福建师范大学,530,5,528,5
闽江学院,531,9,522,6
泉州师范学院,514,13,,
莆田学院,,15,482,
仰恩大学,531,10,506,10
华东交通大学,564,72,531,13
东华理工大学,,,506,
南昌航空大学,538,49,495,15
江西理工大学,529,32,503,3
江西农业大学,530,15,507,5
江西中医学院,518,31,501,9
赣南医学院,508,10,,
江西师范大学,529,18,502,5
上饶师范学院,507,12,488,6
宜春学院,508,12,482,6
赣南师范学院,507,11,487,11
井冈山大学,481,5,510,9
江西财经大学,576,20,553,8
江西科技师范学院,,,,
九江学院,507,14,506,6
院南医学院,,,,
山东科技大学,578,44,532,6
青岛科技大学,579,10,,
济南大学,568,55,548,25
青岛理工大学,558,60,,
山东建筑大学,,,502,6
山东轻工业学院,531,29,528,1
山东理工大学,553,50,512,10
山东农业大学,527,55,513,5
青岛农业大学,527,44,504,6
潍坊医学院,,,,
泰山医学院,508,5,502,15
滨州医学院,511,15,,
山东中医药大学,527,40,,
济宁医学院,531,10,,
山东师范大学,563,10,538,10
曲阜师范大学,535,15,502,15
聊城大学,529,30,502,25
德州学院,510,15,502,15
滨州学院,511,15,486,5
鲁东大学,527,14,521,19
临沂师范学院,509,10,485,10
泰山学院,510,24,501,26
菏泽学院,507,4,482,6
山东经济学院,560,18,541,12
枣庄学院,507,30,486,10
潍坊学院,513,25,501,25
烟台大学,569,40,553,10
山东交通学院,527,48,515,10
山东工商学院,527,100,512,20
山东财政学院,566,40,509,10
华北水利水电学院,561,45,,
河南理工大学,528,31,503,9
郑州轻工业学院,528,26,,
河南工业大学,527,49,502,11
河南科技大学,543,10,501,7
中原工学院,508,27,502,8
河南农业大学,527,20,,
新乡学院,,,,
河南中医学院,530,10,501,10
新乡医学院,526,10,,
河南大学,556,42,539,28
河南师范大学,,,,
南阳师范学院,515,4,494,4
洛阳师范学院,526,14,510,6
周口师范学院,507,8,485,6
郑州航空工业管理学院,527,60,506,5
安阳工学院,514,10,,
南阳理工学院,529,10,510,4
平顶山工学院,509,8,493,7
武汉科技大学,578,10,,
长江大学,527,71,502,11
武汉工程大学,528,32,542,8
武汉工业学院,539,26,508,4
湖北工业大学,527,13,510,12
武汉体育学院,,,,
湖北师范学院,534,8,512,8
湖北民族学院,514,11,483,9
湖北汽车工业学院,546,14,501,6
孝感学院,507,10,487,5
湖北中医学院,,,,
郧阳医学院,521,10,484,
江汉大学,539,5,,
三峡大学,547,24,510,16
湖北经济学院,528,7,519,13
吉首大学,511,21,515,9
湖南理工学院,527,34,501,20
湖南科技大学,528,61,505,19
长沙学院,,,,
湖南农业大学,527,30,507,15
中南林业科技大学,527,36,483,4
湖南中医药大学,525,40,,
湘南学院,518,20,498,5
衡阳师范学院,515,6,504,4
邵阳学院,507,43,482,14
怀化学院,,10,479,
湖南文理学院,530,15,511,14
湖南科技学院,512,10,489,6
广东工业大学,,,,
湖南商学院,523,16,502,24
南华大学,528,60,501,
湖南工程学院,529,36,502,4
湖南城市学院,507,27,489,8
广州体育学院,,,,
广东商学院,,,,
北京师范大学珠海分校,527,82,501,62
广东金融学院,528,13,507,2
广东中医学院,,,,
广西工学院,533,15,,
桂林电子科技大学,529,20,,
桂林工学院,529,8,515,2
广西师范大学,527,5,533,10
广西师范学院,516,5,503,12
巢湖学院,,,,
广西民族大学,508,7,504,12
梧州学院,510,14,489,6
广西财经学院,,,,
海南师范大学,521,15,502,30
海南医学院,527,10,,
海南大学,547,42,534,48
重庆交通大学,547,55,,
重庆师范大学,527,15,507,5
重庆文理学院,516,14,504,6
重庆三峡学院,530,13,502,12
长江师范学院,513,8,497,2
四川外语学院,564,1,519,4
重庆工商大学,538,13,525,10
西南石油大学,546,105,501,15
成都理工大学,569,64,512,14
西南科技大学,528,39,503,31
成都信息工程学院,529,35,,
成都学院,,,,
西华大学,531,17,502,3
四川农业大学,534,13,,
成都中医药大学,530,21,501,7
西华师范大学,531,32,506,13
绵阳师范学院,509,12,481,5
宜宾学院,513,14,493,6
成都体育学院,,,,
毕节学院,,,,
安顺学院,,,,
贵阳医学院,524,10,,
贵州师范大学,508,9,505,3
遵义师范学院,507,6,482,4
黔南民族师范学院,509,7,487,8
贵州财经学院,548,6,504,9
遵义医学院,,,,
昆明理工大学,565,65,512,5
云南农业大学,527,29,506,6
西南林学院,508,30,,
昆明医学院,534,7,506,3
大理学院,510,16,485,4
云南中医学院,,,,
云南师范大学,,,,
曲靖师范学院,508,,487,3
红河学院,507,19,483,11
云南财经大学,527,30,521,18
云南民族大学,528,13,506,7
玉溪师范学院,516,4,483,4
西安工业大学,528,51,508,9
西安石油大学,531,16,507,4
西安工程大学,528,10,,
陕西中医学院,508,13,,
延安大学,527,13,501,12
陕西理工学院,525,25,481,20
宝鸡文理学院,507,27,481,18
咸阳师范学院,510,10,,
渭南师范学院,509,7,481,8
西安外国语大学,590,21,565,27
西北政法大学,583,4,544,26
西安文理学院,535,9,502,8
榆林学院,507,15,495,5
西安财经学院,535,47,532,43
西安邮电学院,557,43,536,7
兰州理工大学,551,40,503,10
兰州交通大学,547,76,519,4
甘肃农业大学,507,15,524,5
西北师范大学,547,8,538,7
商洛学院,,,,
青海大学,527,24,502,6
青海师范大学,530,6,501,14
青海民族学院,,,481,12
宁夏大学,527,9,534,1
新疆农业大学,509,8,488,
新疆师范大学,517,5,503,5
新疆财经大学,511,18,501,12
广西医科大学,,,,
南昌大学,544,,,
长春中医药大学,513,7,507,1
内蒙古医学院,,,,
廊坊师范学院,,,,
安阳师范学院,,,,
福建医科大学,,,,
上海电机学院,,,,
玉林师范学院,,,,
贺州学院,,,,
内蒙古财经学院,,,442蒙语,2
盐城工学院,,,,
东莞理工学院,,,,
上海中医药大学,,,,
安徽中医学院,,,,
天津外国语学院,,,,
桂林医学院,,,,
安徽医科大学,,,,
厦门理工学院,,,,
四川师范大学,,,,
温州大学,,,,
琼州学院,,,,
河南财经学院,,,,
西安科技大学,,,,
安徽工业大学,,,,
西安医学院,,,,
石江民族医学院,,,,
内蒙古科技大学包头医学院,,,,
邯郸学院,,,,
楚雄师范学院,,,,
百色学院,,,,
集美大学,,,,
漳州师范学院,,,,
重庆科技学院,,,,
金陵科技学院,,,,
吉林工商学院,,,,
赤峰学院,,,,
嘉兴学院,,,,
安庆师范学院,,,,
东北林业大学,552,618,515,135
哈尔滨师范大学,528,435,502,145
哈尔滨学院,507,449,501,319
黑龙江大学,546,580,535,237
东北农业大学,542,910,525,135
哈尔滨理工大学,556,927,504,57
哈尔滨商业大学,527,960,513,358
黑龙江中医药大学,531,334,511,42
佳木斯大学,527,935,501,207
齐齐哈尔大学,527,839,513,246
齐齐哈尔医学院,509,327,501,240
牡丹江医学院,508,316,,
牡丹江师范学院,510,316,501,389
黑龙江工程学院,527,1340,501,140
黑龙江科技学院,527,1278,501,122
黑龙江八一农垦大学,517,980,501,171
哈尔滨体育学院,507,40,,
哈尔滨师范大学（阿城学院）,507,138,501,169
哈尔滨师范大学（呼兰学院）,512,190,501,164
大庆师范学院,507,235,492,280
绥化学院,507,261,481,230
黑河学院,507,170,481,126
黑龙江大学（软件学院）,527,279,,
哈尔滨理工大学（软件学院）,527,315,,
哈尔滨医科大学（大庆校区）,,,,
