分数,本段人数,累计人数
523,186,10913
522,232,11145
521,196,11341
520,206,11547
519,226,11773
518,187,11960
517,213,12173
516,218,12391
515,212,12603
514,237,12840
513,258,13098
512,235,13333
511,213,13546
510,226,13772
509,213,13985
508,215,14200
507,231,14431
506,222,14653
505,231,14884
504,241,15125
503,230,15355
502,260,15615
501,222,15837
500,247,16084
499,226,16310
498,217,16527
497,263,16790
496,229,17019
495,246,17265
494,260,17525
493,257,17782
492,288,18070
491,257,18327
490,268,18595
489,249,18844
488,266,19110
487,269,19379
486,288,19667
485,272,19939
484,282,20221
483,270,20491
482,295,20786
481,296,21082
480,275,21357
479,297,21654
478,262,21916
477,286,22202
476,262,22464
475,281,22745
474,275,23020
473,337,23357
472,319,23676
471,317,23993
470,303,24296
469,328,24624
468,334,24958
467,283,25241
466,327,25568
465,324,25892
464,306,26198
463,309,26507
462,334,26841
461,276,27117
460,280,27397
459,329,27726
458,341,28067
457,316,28383
456,306,28689
455,302,28991
454,291,29282
453,309,29591
452,320,29911
451,325,30236
450,302,30538
449,324,30862
448,366,31228
447,326,31554
446,326,31880
445,333,32213
444,322,32535
443,363,32898
442,344,33242
441,313,33555
440,342,33897
439,327,34224
438,335,34559
437,368,34927
436,329,35256
435,339,35595
434,345,35940
433,368,36308
432,384,36692
431,348,37040
430,326,37366
429,351,37717
428,377,38094
427,400,38494
426,350,38844
425,383,39227
424,361,39588
423,355,39943
422,361,40304
421,395,40699
420,375,41074
419,407,41481
418,380,41861
417,391,42252
416,363,42615
415,372,42987
414,397,43384
413,417,43801
412,379,44180
411,347,44527
410,393,44920
409,374,45294
408,357,45651
407,378,46029
406,372,46401
405,393,46794
404,388,47182
403,362,47544
402,385,47929
401,385,48314
400,367,48681
399,394,49075
398,398,49473
397,385,49858
396,385,50243
395,390,50633
394,403,51036
393,390,51426
392,391,51817
391,392,52209
390,413,52622
389,387,53009
388,378,53387
387,354,53741
386,375,54116
385,401,54517
384,364,54881
383,387,55268
382,388,55656
381,379,56035
380,370,56405
379,378,56783
378,404,57187
377,380,57567
376,400,57967
375,396,58363
374,408,58771
373,439,59210
372,413,59623
371,416,60039
370,386,60425
369,386,60811
368,424,61235
367,409,61644
366,386,62030
365,388,62418
364,396,62814
363,358,63172
362,374,63546
361,391,63937
360,382,64319
359,389,64708
358,382,65090
357,427,65517
356,402,65919
355,409,66328
354,408,66736
353,368,67104
352,442,67546
351,344,67890
350,390,68280
349,393,68673
348,383,69056
347,420,69476
346,410,69886
345,382,70268
344,398,70666
343,425,71091
342,407,71498
341,386,71884
340,390,72274
339,385,72659
338,423,73082
337,386,73468
336,408,73876
335,385,74261
334,387,74648
333,375,75023
332,355,75378
331,393,75771
330,363,76134
329,386,76520
328,357,76877
327,341,77218
326,393,77611
325,400,78011
324,400,78411
323,358,78769
322,381,79150
321,409,79559
320,403,79962
319,357,80319
318,356,80675
317,375,81050
316,353,81403
315,374,81777
314,366,82143
313,344,82487
312,340,82827
311,382,83209
310,328,83537
309,374,83911
308,343,84254
307,333,84587
306,370,84957
305,336,85293
304,354,85647
303,346,85993
302,353,86346
301,351,86697
300,337,87034
299,358,87392
298,361,87753
297,337,88090
296,343,88433
295,330,88763
294,326,89089
293,350,89439
292,329,89768
291,358,90126
290,328,90454
289,320,90774
288,338,91112
287,343,91455
286,308,91763
285,300,92063
284,273,92336
283,312,92648
282,299,92947
281,315,93262
280,329,93591
279,292,93883
278,310,94193
277,325,94518
276,323,94841
275,291,95132
274,311,95443
273,270,95713
272,318,96031
271,283,96314
270,287,96601
269,284,96885
268,269,97154
267,266,97420
266,287,97707
265,297,98004
264,267,98271
263,301,98572
262,258,98830
261,249,99079
260,303,99382
259,251,99633
258,258,99891
257,262,100153
256,255,100408
255,271,100679
254,271,100950
253,273,101223
252,258,101481
251,234,101715
250,243,101958
249,240,102198
248,250,102448
247,255,102703
246,221,102924
245,250,103174
244,244,103418
243,219,103637
242,232,103869
241,250,104119
240,214,104333
239,188,104521
238,210,104731
237,216,104947
236,211,105158
235,205,105363
234,207,105570
233,205,105775
232,201,105976
231,209,106185
230,201,106386
229,182,106568
228,203,106771
227,180,106951
226,181,107132
225,189,107321
224,200,107521
223,165,107686
222,190,107876
221,198,108074
220,189,108263
219,181,108444
218,174,108618
217,175,108793
216,204,108997
215,170,109167
214,167,109334
213,153,109487
212,162,109649
211,137,109786
210,145,109931
209,141,110072
208,159,110231
207,160,110391
206,166,110557
205,147,110704
204,143,110847
203,134,110981
202,136,111117
201,130,111247
200,123,111370
199,142,111512
198,135,111647
197,120,111767
196,132,111899
195,108,112007
194,113,112120
193,103,112223
192,107,112330
191,113,112443
190,109,112552
189,106,112658
188,106,112764
187,96,112860
186,85,112945
185,102,113047
184,106,113153
183,90,113243
182,94,113337
181,89,113426
180,80,113506
179,77,113583
178,81,113664
177,75,113739
176,82,113821
175,62,113883
174,77,113960
173,77,114037
172,74,114111
171,59,114170
170,69,114239
169,66,114305
168,55,114360
167,67,114427
166,55,114482
165,54,114536
164,75,114611
163,55,114666
162,53,114719
161,49,114768
160,43,114811
159,55,114866
158,37,114903
157,48,114951
156,49,115000
155,42,115042
154,32,115074
153,42,115116
152,36,115152
151,41,115193
150,40,115233
