学校名称,理科分数线,理科招生人数,文科分数线,文科招生人数
聊城大学,526,35,525,5
德州学院,534,15,502,15
滨州学院,544,5,,
鲁东大学,554,55,501,35
临沂师范学院,543,12,504,18
泰山学院,518,25,499,20
菏泽学院,526,7,538,3
山东经济学院,564,38,557,32
枣庄学院,,22,502,
潍坊学院,527,21,516,19
烟台大学,574,40,557,10
山东交通学院,542,61,528,19
山东工商学院,543,126,527,24
山东财政学院,575,40,559,30
华北水利水电学院,571,20,,
河南理工大学,529,19,503,6
郑州轻工业学院,530,7,550,4
河南工业大学,555,25,522,8
河南科技大学,547,28,511,2
中原工学院,572,4,553,2
河南农业大学,548,10,,
新乡学院,,,,
河南中医学院,558,5,,
新乡医学院,528,5,,
河南大学,532,11,536,5
河南师范大学,536,15,500,15
南阳师范学院,560,2,510,2
洛阳师范学院,528,8,534,12
周口师范学院,,,,
郑州航空工业管理学院,530,13,547,2
安阳工学院,,,,
南阳理工学院,529,8,522,7
平顶山工学院,554,3,512,7
武汉科技大学,577,10,,
长江大学,560,68,523,8
武汉工程大学,565,32,500,8
武汉工业学院,532,17,501,3
湖北工业大学,557,14,525,6
武汉体育学院,,,524,6
湖北师范学院,578,5,501,5
湖北民族学院,530,10,523,5
湖北汽车工业学院,561,15,,
孝感学院,534,5,513,10
湖北中医学院,,,,
郧阳医学院,538,10,,
江汉大学,527,2,587,2
三峡大学,543,28,516,10
湖北经济学院,528,6,522,4
吉首大学,548,10,541,10
湖南理工学院,527,19,525,6
湖南科技大学,528,52,505,
长沙学院,,,,
湖南农业大学,527,40,,
中南林业科技大学,531,28,534,12
湖南中医药大学,528,15,,
湘南学院,539,22,526,13
衡阳师范学院,548,7,506,3
邵阳学院,556,22,500,13
怀化学院,519,8,492,7
湖南文理学院,531,12,499,3
湖南科技学院,544,10,544,7
广东工业大学,,,,
湖南商学院,567,10,514,10
南华大学,546,50,,
湖南工程学院,527,18,546,2
湖南城市学院,531,14,534,6
广州体育学院,531,3,,
广东商学院,,,,
北京师范大学珠海分校,526,70,570,64
广东金融学院,567,2,546,3
广东中医学院,,,,
广西工学院,529,15,,
桂林电子科技大学,550,14,501,3
桂林工学院,530,11,508,4
广西师范大学,534,10,522,10
广西师范学院,527,4,500,9
巢湖学院,,8,499,
广西民族大学,529,13,502,
梧州学院,537,6,506,9
广西财经学院,571,4,508,6
海南师范大学,527,43,503,56
海南医学院,529,14,525,1
海南大学,555,60,540,48
重庆交通大学,556,55,,
重庆师范大学,553,15,499,5
重庆文理学院,532,6,508,4
重庆三峡学院,529,7,511,3
长江师范学院,538,3,525,4
四川外语学院,580,4,559,6
重庆工商大学,547,16,528,12
西南石油大学,570,84,515,6
成都理工大学,577,40,528,10
西南科技大学,528,30,512,20
成都信息工程学院,560,26,,
成都学院,528,15,,
西华大学,546,23,502,7
四川农业大学,527,10,,
成都中医药大学,541,14,510,7
西华师范大学,536,10,503,2
绵阳师范学院,542,4,504,8
宜宾学院,562,2,513,8
成都体育学院,539,4,507,7
毕节学院,,,,
安顺学院,,,,
贵阳医学院,546,5,,
贵州师范大学,527,17,511,5
遵义师范学院,535,8,509,8
黔南民族师范学院,,,536,3
贵州财经学院,529,14,505,10
遵义医学院,530,25,499,5
昆明理工大学,572,75,522,5
云南农业大学,526,8,509,2
西南林学院,528,40,,
昆明医学院,527,10,,
大理学院,521,11,503,9
云南中医学院,567,,,
云南师范大学,530,15,509,5
曲靖师范学院,,,529,4
红河学院,574,9,501,6
云南财经大学,566,40,553,30
云南民族大学,560,4,531,6
玉溪师范学院,,4,521,
西安工业大学,570,13,507,2
西安石油大学,577,18,543,7
西安工程大学,554,20,,
陕西中医学院,547,10,,
延安大学,,14,500,
陕西理工学院,534,16,500,4
宝鸡文理学院,531,12,525,6
咸阳师范学院,,,499,15
渭南师范学院,519,6,502,4
西安外国语大学,604,8,564,14
西北政法大学,572,5,565,23
西安文理学院,531,4,502,6
榆林学院,546,7,549,8
西安财经学院,563,20,551,25
西安邮电学院,578,25,504,5
兰州理工大学,527,59,507,6
兰州交通大学,570,45,529,10
甘肃农业大学,532,10,,
西北师范大学,560,8,535,6
商洛学院,,,,
青海大学,527,26,499,4
青海师范大学,537,20,505,20
青海民族学院,543,8,517,12
宁夏大学,535,5,,
新疆农业大学,543,9,,
新疆师范大学,530,5,516,2
新疆财经大学,528,6,528,4
广西医科大学,551,10,,
南昌大学,543,12,,
长春中医药大学,528,6,511,4
内蒙古医学院,573,15,,
廊坊师范学院,531,10,526,10
安阳师范学院,527,6,507,4
福建医科大学,556,15,550,5
上海电机学院,537,10,,
玉林师范学院,545,5,504,5
贺州学院,516,6,512,2
内蒙古财经学院,527,20,500,22
盐城工学院,528,3,516,2
东莞理工学院,529,8,,
上海中医药大学,566,8,,
安徽中医学院,,,,
天津外国语学院,579,20,,
桂林医学院,582,10,,
安徽医科大学,578,5,551,2
厦门理工学院,558,20,536,10
四川师范大学,558,10,506,14
温州大学,529,8,531,6
琼州学院,,,,
河南财经学院,583,2,504,4
西安科技大学,567,27,,
安徽工业大学,526,30,,
西安医学院,547,8,,
石江民族医学院,,,,
内蒙古科技大学包头医学院,569,10,,
邯郸学院,,,,
