分数,本段人数,累计人数
332,262,117546
331,259,117805
330,257,118062
329,265,118327
328,263,118590
327,261,118851
326,259,119110
325,256,119366
324,255,119621
323,252,119873
322,250,120123
321,248,120371
320,246,120617
319,257,120874
318,255,121129
317,253,121382
316,250,121632
315,247,121879
314,246,122125
313,243,122368
312,241,122609
311,238,122847
310,236,123083
309,243,123326
308,241,123567
307,239,123806
306,236,124042
305,233,124275
304,231,124506
303,228,124734
302,226,124960
301,224,125184
300,221,125405
299,213,125618
298,210,125828
297,208,126036
296,206,126242
295,204,126446
294,201,126647
293,199,126846
292,197,127043
291,195,127238
290,192,127430
289,198,127628
288,196,127824
287,194,128018
286,191,128209
285,189,128398
284,187,128585
283,184,128769
282,182,128951
281,180,129131
280,177,129308
279,195,129503
278,192,129695
277,189,129884
276,187,130071
275,184,130255
274,181,130436
273,178,130614
272,176,130790
271,173,130963
270,171,131134
269,158,131292
268,156,131448
267,153,131601
266,152,131753
265,149,131902
264,147,132049
263,144,132193
262,143,132336
261,141,132477
260,138,132615
259,155,132770
258,153,132923
257,150,133073
256,148,133221
255,145,133366
254,142,133508
253,140,133648
252,137,133785
251,135,133920
250,132,134052
249,134,134186
248,131,134317
247,129,134446
246,126,134572
245,123,134695
244,122,134817
243,119,134936
242,117,135053
241,114,135167
240,112,135279
239,118,135397
238,116,135513
237,113,135626
236,111,135737
235,109,135846
234,105,135951
233,104,136055
232,101,136156
231,99,136255
230,97,136352
229,103,136455
228,100,136555
227,97,136652
226,95,136747
225,93,136840
224,90,136930
223,88,137018
222,85,137103
221,84,137187
220,81,137268
219,81,137349
218,78,137427
217,77,137504
216,74,137578
215,73,137651
214,70,137721
213,68,137789
212,67,137856
211,64,137920
210,63,137983
209,64,138047
208,61,138108
207,60,138168
206,58,138226
205,56,138282
204,55,138337
203,52,138389
202,52,138441
201,49,138490
200,48,138538
199,48,138586
198,46,138632
197,45,138677
196,43,138720
195,42,138762
194,41,138803
193,39,138842
192,37,138879
191,37,138916
190,35,138951
189,35,138986
188,34,139020
187,33,139053
186,31,139084
185,30,139114
184,30,139144
183,28,139172
182,27,139199
181,26,139225
180,25,139250
179,22,139272
178,22,139294
177,20,139314
176,20,139334
175,20,139354
174,18,139372
173,18,139390
172,17,139407
171,17,139424
170,16,139440
169,14,139454
168,14,139468
