分数,本段人数,累积人数
470,416,62285
469,401,62686
468,400,63086
467,401,63487
466,400,63887
465,401,64288
464,401,64689
463,400,65089
462,401,65490
461,400,65890
460,401,66291
459,386,66677
458,385,67062
457,386,67448
456,386,67834
455,386,68220
454,385,68605
453,386,68991
452,386,69377
451,385,69762
450,386,70148
449,364,70512
448,365,70877
447,365,71242
446,364,71606
445,364,71970
444,365,72335
443,365,72700
442,364,73064
441,364,73428
440,365,73793
439,366,74159
438,366,74525
437,367,74892
436,366,75258
435,366,75624
